GeneID,"absolute expression, parental strain t=0 (arbitrary units)",wt t=0,wt t=10,wt t=20,wt t=30,wt t=45,wt t=60,wt t=90,wt t=120,tfA-del t=0,tfA-del t=10,tfA-del t=20,tfA-del t=30,tfA-del t=45,tfA-del t=60,tfA-del t=90,tfA-del t=120,tfB-del t=0,tfB-del t=10,tfB-del t=20,tfB-del t=30,tfB-del t=45,tfB-del t=60,tfB-del t=90,tfB-del t=120,tfC-del t=0,tfC-del t=10,tfC-del t=20,tfC-del t=30,tfC-del t=45,tfC-del t=60,tfC-del t=90,tfC-del t=120
8902,2.053,0.0,0.022,-0.148,0.039,-0.02,-0.281,-0.416,-0.152,-0.143,-0.021,-0.031,-0.127,0.167,-0.098,-0.233,-0.231,-0.132,-0.153,-0.138,-0.19,0.031,0.173,-0.227,-0.698,-0.185,0.117,0.031,0.128,0.017,-0.316,-0.038,-0.228
2860,0.338,0.0,-0.115,-0.171,0.02,-0.174,-0.21,-0.322,-0.135,-0.009,-0.088,0.163,0.060,0.375,0.097,-0.217,-0.148,-0.172,-0.08,-0.03,-0.114,-0.11,0.062,-0.264,-0.374,-0.249,0.013,0.001,-0.08,-0.073,-0.269,-0.181,-0.18
4563,0.399,0.0,-0.007,-0.014,0.46,0.155,-0.036,0.022,0.152,-0.045,-0.383,-0.107,0.122,0.086,0.154,0.165,0.086,0.204,0.134,0.434,-0.016,0.091,0.133,-0.079,0.133,0.106,-0.111,0.007,0.127,-0.033,-0.004,0.001,-0.132
2266,0.276,0.0,0.016,-0.128,0.351,-0.051,-0.257,-0.207,-0.085,-0.003,-0.411,-0.310,-0.228,-0.131,-0.195,0.007,-0.299,0.383,-0.007,0.128,0.028,-0.085,0.079,-0.212,-0.147,0.155,-0.158,-0.329,-0.027,-0.051,-0.229,-0.145,-0.263
1698,1.423,0.0,-0.481,-0.347,0.297,-0.143,0.082,0.0,-0.084,0.045,-0.738,-0.753,-0.924,-0.058,0.344,-0.136,0.032,0.364,-0.163,-0.205,-0.275,-0.329,-0.171,0.085,0.45,-0.253,-0.751,-0.717,-0.358,-0.077,0.023,-0.132,-0.372
859,1.828,0.0,-0.277,0.142,0.068,0.037,-0.165,-0.077,0.388,0.304,-0.127,-0.010,-0.126,0.095,-0.061,-0.138,0.014,0.032,-0.385,-0.161,-0.108,0.013,-0.017,0.12,0.158,-0.041,-0.25,-0.139,0.184,-0.185,-0.092,0.229,0.133
9150,0.767,0.0,-0.51,-0.374,-0.187,-0.139,-0.128,-0.256,0.173,0.044,-0.317,-0.516,-0.417,-0.224,-0.075,0.028,0.045,0.281,-0.193,-0.114,-0.275,-0.301,-0.047,0.138,-0.33,-0.162,-0.37,-0.633,-0.431,-0.399,-0.268,0.1,-0.343
5987,9.595,0.0,0.49,0.637,0.371,0.295,0.285,0.279,0.446,0.203,0.754,0.608,0.209,0.373,0.413,0.299,0.106,-0.104,0.662,0.73,0.436,0.293,0.299,0.344,0.438,-0.218,0.245,-0.076,0.071,0.028,-0.438,0.351,0.276
3900,2.004,0.0,-0.006,-0.114,-0.144,0.213,-0.045,-0.261,-0.31,-0.498,-0.317,-0.228,0.196,0.496,0.379,-0.410,-0.172,-0.019,0.001,-0.276,-0.348,0.092,0.293,0.114,-0.494,-0.54,-0.271,-0.009,0.099,0.178,0.001,-0.096,0.1
7814,1.139,0.0,0.39,0.219,0.019,0.25,-0.123,-0.106,0.223,-0.149,0.184,-0.193,-0.277,-0.026,-0.261,-0.244,0.034,-0.456,0.155,0.112,-0.031,0.045,-0.202,0.201,0.377,-0.223,-0.034,-0.33,-0.066,-0.387,-0.154,-0.014,-0.096
834,5.702,0.0,0.537,-0.223,-0.404,0.003,-0.183,-0.397,-0.362,-0.104,0.077,0.335,0.125,0.537,0.146,-0.433,-0.153,-0.534,0.664,0.29,0.219,-0.136,-0.301,-0.03,-0.144,-0.336,-0.037,0.004,0.063,-0.094,-0.038,-0.114,-0.247
6807,2.167,0.0,-0.003,-0.249,-0.242,-0.006,-0.11,-0.314,-0.059,-0.110,-0.250,0.001,-0.258,0.039,0.048,-0.320,-0.240,-0.373,-0.02,-0.215,-0.131,-0.062,0.007,-0.192,-0.562,-0.47,-0.271,-0.227,-0.297,-0.245,-0.292,-0.073,-0.362
8520,0.548,0.0,-0.415,-0.58,-0.014,-0.549,-0.715,-0.68,-0.601,-0.525,-0.721,-0.180,-0.257,0.044,-0.450,-0.466,-0.610,-0.235,-0.145,-0.411,-0.407,0.05,-0.242,-0.472,-0.538,-0.402,-0.197,0.377,0.054,-0.364,-0.659,-0.39,-0.504
2596,1.247,0.0,-0.178,-0.076,0.878,0.188,0.012,-0.066,-0.263,-0.417,-0.696,-0.445,-0.312,-0.161,0.114,-0.148,-0.178,-0.251,-0.088,0.234,-0.065,-0.154,-0.241,-0.518,0.213,-0.149,-0.288,-0.24,0.238,-0.392,-0.106,-0.333,-0.276
5941,7.501,0.0,-0.435,-0.737,-0.46,-0.983,-0.706,-1.041,-0.903,-0.541,-1.128,-1.613,-1.313,-1.106,-0.970,-1.138,-1.341,0.02,-0.591,-0.382,-0.318,-0.629,-0.293,-0.643,-0.563,-0.432,-1.287,-1.209,-0.915,-1.227,-1.121,-1.169,-1.044
3897,0.822,0.0,-0.449,-0.563,-0.036,-0.562,-0.543,-0.633,-0.524,-0.439,-0.806,-0.888,-0.719,-0.564,-0.436,-0.508,-0.740,0.012,-0.401,-0.301,-0.144,-0.634,-0.525,-0.639,-0.301,-0.124,-0.787,-0.795,-0.239,-0.862,-0.532,-0.559,-0.626
5238,0.684,0.0,-0.309,-0.561,-0.131,-0.195,-0.207,-0.355,-0.19,-0.264,-0.553,-0.493,-0.598,-0.179,-0.223,-0.479,-0.382,0.615,-0.034,-0.134,0.044,-0.419,-0.205,-0.239,-0.073,0.283,-0.452,-0.475,-0.223,-0.439,-0.312,-0.331,-0.296
3594,0.39,0.0,-0.089,-0.107,1.329,-0.07,-0.041,-0.132,0.106,-0.079,-0.072,-0.057,-0.011,0.125,0.116,0.051,-0.020,-0.329,-0.1,0.141,0.092,-0.167,-0.047,-0.193,1.009,-0.099,-0.122,0.063,0.586,-0.193,0.012,-0.009,0.003
8607,0.31,0.0,-0.253,-0.267,0.306,-0.034,-0.207,-0.181,0.072,-0.115,-0.355,-0.242,-0.184,0.051,0.085,-0.241,-0.180,0.003,-0.29,-0.241,-0.185,-0.122,-0.156,-0.058,-0.001,-0.172,-0.091,-0.27,0.138,-0.158,-0.163,0.13,0.007
2163,2.488,0.0,0.017,-0.194,0.295,-0.595,-0.608,-0.514,-0.327,-0.122,-0.772,-0.729,-0.999,-0.706,-0.686,-0.690,-0.829,0.088,-0.783,-0.686,-0.754,-0.533,-0.466,-0.411,0.216,0.047,-0.464,-0.825,-0.459,-0.808,-1.68,-0.53,-0.587
1070,4.463,0.0,-0.336,-0.089,-0.315,-0.451,-0.533,-0.59,-0.356,-0.176,-0.355,-0.492,-0.380,-0.106,-0.375,-0.478,-0.711,-0.816,-0.72,-0.591,-0.794,-0.501,-0.61,-0.652,-0.57,-0.502,-0.41,-0.715,-0.507,-0.453,-2.044,-0.505,-0.538
2030,29.16,0.0,-0.355,-0.131,-0.261,-0.273,-0.448,-0.35,-0.672,0.224,0.080,0.515,0.150,0.591,0.610,-0.449,-0.131,0.897,0.713,0.157,0.038,-0.381,-0.28,0.15,-0.825,0.201,-0.092,0.086,-0.19,0.155,0.034,0.039,0.286
3950,0.389,0.0,0.255,0.097,-0.014,0.029,-0.139,-0.055,0.056,0.228,0.114,0.119,0.186,0.383,-0.050,-0.324,-0.202,-0.131,0.248,-0.135,-0.127,-0.162,-0.301,-0.115,-0.141,-0.231,-0.152,-0.32,-0.003,-0.245,-0.265,-0.27,-0.23
7975,154.9,0.0,-0.048,-0.143,-0.437,-0.102,-0.233,-0.103,0.134,-0.059,-0.031,-0.464,-0.050,0.031,0.014,-0.064,-0.013,-0.127,-0.193,-0.176,0.193,-0.198,-0.413,-0.207,-0.244,-0.134,-0.096,-0.295,-0.05,-0.287,-0.07,0.004,0.01
5751,1.234,0.0,-0.04,-0.106,-0.525,-0.041,-0.045,0.245,0.358,0.189,0.085,-0.183,-0.323,-0.098,0.066,0.088,0.139,0.168,0.288,0.302,0.123,-0.152,-0.048,-0.077,0.193,-0.425,-0.131,-0.618,-0.368,-0.276,-0.099,0.311,0.117
3710,0.452,0.0,-0.045,0.051,-0.434,-0.061,-0.192,0.031,0.147,0.188,0.039,0.051,0.000,0.072,-0.084,-0.038,-0.040,-0.119,0.006,-0.037,-0.099,-0.013,-0.023,-0.048,0.178,0.125,0.152,-0.122,0.0,0.051,0.062,0.346,0.091
401,5.865,0.0,0.103,0.349,-1.633,-0.697,-0.76,-0.664,0.186,0.529,0.983,0.409,-0.596,-0.694,-0.709,-0.242,-0.176,0.34,-0.914,-1.222,-0.576,-0.698,-0.966,-0.577,0.039,0.309,0.25,-0.774,-0.467,-0.596,-0.637,-0.162,0.184
5386,5.477,0.0,0.082,-0.263,-1.116,0.236,-0.124,-0.145,-0.131,-0.140,0.023,-0.111,0.347,0.613,0.456,0.133,-0.279,0.306,0.626,0.173,0.335,0.297,0.079,0.072,0.141,-0.187,0.248,0.0,-0.045,0.347,-0.521,-0.01,-0.03
4692,4.526,0.0,-0.128,-0.261,-0.715,0.019,-0.233,0.102,0.24,-0.249,-0.318,-0.294,-0.068,-0.099,0.063,-0.360,0.191,-0.332,-0.23,-0.408,-0.083,-0.233,-0.257,0.211,0.368,-0.228,-0.654,-0.646,0.017,-0.36,0.276,0.167,0.229
6131,32.88,0.0,-0.404,-0.234,-0.499,0.045,-0.205,-0.207,-0.42,-0.448,-0.436,-0.212,-0.038,0.035,0.139,-0.440,-0.293,-0.696,0.105,-0.218,0.01,-0.01,-0.193,-0.14,-0.802,-0.392,-0.576,0.083,-0.297,-0.029,-0.402,-0.098,-0.154
9022,8.508,0.0,-0.45,-0.765,-0.924,-0.458,-0.219,-0.346,-0.382,0.041,-0.322,-0.523,-0.302,-0.148,-0.160,-0.840,-0.444,0.484,-0.131,-0.098,0.245,0.196,0.454,0.056,-0.077,-0.092,-0.624,-0.502,-0.411,-0.346,-0.265,-0.297,-0.251
1741,1.45,0.0,-0.02,0.181,0.072,-0.203,0.001,-0.016,0.146,0.023,0.006,0.038,-0.006,0.170,0.083,-0.068,-0.095,0.044,-0.099,0.079,0.13,0.243,0.059,0.08,0.208,0.095,0.022,0.038,0.039,-0.026,-0.958,0.109,0.068
2246,1.981,0.0,0.082,-0.011,0.029,-0.205,-0.03,-0.104,0.199,-0.176,-0.116,-0.081,0.184,0.460,0.025,-0.011,-0.087,0.236,0.068,0.425,0.432,0.51,0.278,0.173,0.711,-0.051,-0.021,0.066,0.496,0.252,-1.06,0.224,0.444
5905,0.391,0.0,0.141,-0.087,0.692,0.167,0.103,0.255,0.079,0.001,-0.179,-0.153,0.091,-0.045,0.103,-0.087,-0.180,-0.229,0.076,0.072,0.279,-0.104,-0.072,-0.157,0.116,0.045,-0.286,0.009,0.381,-0.131,0.0,0.097,0.05
3308,2.447,0.0,-0.281,-0.279,-0.077,0.009,-0.48,-0.065,0.06,0.006,-0.024,0.613,-0.011,0.228,0.086,0.076,-0.072,0.209,0.324,0.377,0.407,0.573,0.193,0.15,-0.277,-0.07,0.265,0.285,-0.08,0.309,-1.066,0.281,0.204
4389,9.208,0.0,-1.075,-0.983,-0.341,-0.752,-0.942,-0.606,-0.222,-0.103,-0.845,-0.626,-0.596,-0.312,-0.517,-0.252,-0.094,-0.112,-1.176,-0.806,-0.387,-0.367,-0.57,-0.432,-0.374,0.032,-0.377,-1.178,-0.397,-0.374,-1.8,0.095,0.138
8736,47.61,0.0,-0.258,0.089,-0.096,0.621,0.199,0.36,0.525,-0.023,-0.708,0.508,0.806,0.761,0.513,0.362,-0.024,-0.212,-0.577,-0.41,-0.127,0.4,0.584,0.513,-0.036,0.175,0.381,0.262,0.578,0.662,-2.516,0.496,0.456
4406,1.358,0.0,-0.255,0.26,-0.455,0.415,0.103,0.306,0.513,0.184,-0.023,0.569,0.476,0.759,0.338,0.442,0.353,0.06,-0.104,0.029,0.405,0.653,0.468,0.427,0.383,0.213,0.478,0.163,0.542,0.494,-0.846,0.474,0.617
5617,11.67,0.0,0.309,0.1,-1.346,0.088,0.117,0.199,0.58,0.405,0.201,0.100,0.432,0.370,0.147,0.400,0.077,-0.055,0.134,0.133,0.456,-0.034,0.065,0.333,0.584,0.236,0.231,-0.862,0.317,0.144,-2.049,0.552,0.386
3160,3.083,0.0,0.168,0.05,-1.312,0.037,-0.21,-0.087,0.245,-0.103,-0.092,-0.083,0.335,0.228,-0.147,0.003,0.144,-0.13,-0.156,-0.317,-0.001,-0.124,-0.399,-0.213,0.569,-0.059,0.014,-0.704,0.167,-0.213,-1.045,0.128,-0.069
689,0.758,0.0,-0.156,-0.205,-0.277,-0.085,-0.184,-0.165,0.053,-0.081,-0.543,-0.531,-0.394,-0.289,-0.383,-0.555,-0.122,-0.627,-0.561,-0.47,-0.521,-0.373,-0.842,-0.367,-0.084,-0.28,-0.689,-0.782,-0.3,-0.817,-0.358,-0.324,-0.517
198,8.266,0.0,-0.292,-0.156,-0.479,0.056,-0.1,0.028,-0.103,-0.088,-0.544,-1.036,-0.317,-0.135,-0.224,-0.767,-0.299,-0.548,-0.387,-0.245,0.048,-0.07,-0.383,-0.249,-0.076,-0.203,-0.819,-0.787,-0.234,-0.69,-0.115,-0.236,-0.294
9243,0.938,0.0,-0.261,-0.249,-0.539,-0.044,-0.118,-0.036,-0.154,-0.145,-0.219,-0.198,-0.381,-0.354,0.066,-0.522,-0.219,-0.013,0.494,-0.091,0.041,-0.108,-0.075,-0.077,-0.13,-0.122,-0.408,-0.176,-0.626,-0.152,0.003,-0.096,0.039
3259,150.9,0.0,-0.445,-0.268,-0.331,0.346,0.246,0.183,0.264,-0.003,-0.158,-0.335,-0.116,-0.161,-0.029,-0.385,0.162,-0.148,-0.11,-0.19,-0.055,-0.43,-0.438,-0.048,-0.123,-0.296,-0.525,-0.621,-0.497,-0.421,-0.115,-0.07,-0.376
7007,80.57,0.0,-0.338,-0.259,-0.329,0.154,0.014,0.054,0.234,-0.023,-0.189,-0.544,-0.160,-0.175,-0.084,-0.373,-0.014,-0.174,-0.269,-0.395,-0.219,-0.546,-0.512,-0.189,-0.533,-0.295,-0.629,-0.614,-0.372,-0.599,-0.316,-0.229,-0.44
7616,1.111,0.0,-0.202,-0.392,-1.398,-0.511,-0.595,-0.485,-0.642,0.454,0.246,-0.501,-0.710,-0.785,-0.360,-1.045,-0.921,0.175,0.105,-0.779,-0.711,-0.931,-0.552,-0.607,-1.227,-0.089,-0.222,-0.3,-0.649,-0.615,-0.491,-0.561,-0.568
1149,0.386,0.0,0.839,1.234,0.739,1.077,0.766,0.525,0.635,0.029,1.540,1.527,1.053,0.730,0.655,0.083,0.621,-0.123,0.569,0.595,0.694,0.597,1.05,0.924,0.571,-0.161,0.535,0.344,0.37,0.326,0.29,0.599,0.613
6617,0.258,0.0,2.272,3.474,2.381,1.751,1.358,0.997,1.454,0.014,3.690,3.582,2.102,1.279,1.272,1.621,1.540,-0.405,0.803,1.218,1.639,2.252,2.358,1.63,0.708,0.211,3.252,2.796,1.552,1.737,1.248,1.582,2.315
1316,1.506,0.0,-0.285,-0.192,-0.659,-0.357,-0.259,-0.195,-0.091,0.178,-0.162,-0.544,-0.614,-0.417,-0.235,-0.601,-0.096,-0.084,-0.213,-0.203,0.063,-0.045,-0.05,-0.153,-0.641,-0.11,-0.198,-0.276,-0.365,-0.449,-0.431,-0.05,-0.281
3044,0.167,0.0,0.071,0.269,0.035,0.031,0.117,-0.006,0.146,0.057,-0.147,0.014,0.099,0.063,0.050,0.025,0.079,-0.277,-0.064,-0.096,0.06,-0.122,-0.038,0.139,-0.01,-0.069,-0.007,0.037,0.026,0.035,0.029,-0.047,0.0
8035,1.25,0.0,-0.7,-0.085,-0.043,0.038,-0.263,-0.371,-0.17,0.255,-0.368,0.502,-0.098,0.413,0.379,-0.383,-0.128,1.162,-0.415,-0.208,0.105,0.676,0.847,0.223,-0.152,0.957,0.826,1.023,0.646,0.694,-0.024,0.313,0.513
6967,0.602,0.0,0.007,0.204,-0.292,-0.169,-0.106,-0.32,-0.249,0.100,0.037,-0.054,-0.156,-0.120,-0.497,-0.889,-0.453,0.519,0.006,0.165,0.278,0.288,0.082,-0.111,0.01,-0.096,0.111,-0.364,0.051,-0.468,-0.459,-0.525,-0.352
6641,0.623,0.0,-0.179,-0.281,-0.545,-0.203,-0.457,-0.36,-0.238,-0.332,-0.372,-0.130,-0.473,-0.386,-0.107,-0.396,-0.268,-0.312,0.042,-0.302,-0.29,-0.373,-0.536,-0.384,-0.419,-0.312,-0.255,-0.02,-0.496,-0.162,-0.257,-0.165,-0.22
3539,0.848,0.0,-0.433,-0.371,0.326,0.415,0.163,-0.047,0.216,-0.184,-0.497,-0.165,0.184,0.234,0.529,0.304,0.245,0.171,-0.395,-0.395,-0.217,0.336,0.381,0.606,0.16,-0.18,0.167,0.162,0.186,0.615,0.589,0.468,0.708
7503,0.225,0.0,-0.02,0.06,-0.111,0.044,0.157,-0.014,0.02,0.099,-0.205,-0.180,0.219,-0.083,0.068,0.088,-0.030,-0.238,-0.181,0.004,-0.021,-0.003,-0.029,0.086,0.385,0.127,0.114,0.117,-0.016,-0.048,0.12,0.031,0.231
9298,0.388,0.0,-0.235,-0.148,-0.388,0.072,0.111,0.241,0.106,-0.088,-0.341,-0.395,-0.292,-0.368,0.181,-0.094,0.003,0.05,-0.213,-0.424,-0.161,-0.424,-0.199,0.053,0.004,0.023,-0.397,-0.303,-0.383,-0.114,0.203,0.155,0.139
5571,0.277,0.0,-0.205,-0.364,-0.395,-0.3,-0.021,-0.18,-0.144,-0.276,-0.539,-0.381,-0.116,-0.161,0.155,-0.224,-0.264,-0.397,-0.345,-0.435,-0.127,-0.246,-0.141,-0.246,-0.149,-0.171,-0.508,0.014,-0.281,0.01,-0.295,-0.285,-0.023
4542,0.268,0.0,0.103,0.042,0.023,0.344,0.446,0.318,0.257,-0.062,-0.091,-0.152,0.246,-0.009,0.155,-0.014,0.099,-0.021,-0.108,0.122,0.188,-0.041,-0.024,-0.019,0.398,0.044,-0.092,0.088,-0.058,-0.052,0.109,0.032,0.264
7987,0.344,0.0,-0.22,-0.02,-0.11,0.016,0.031,-0.014,-0.062,-0.236,-0.098,-0.314,0.026,-0.096,-0.024,0.160,-0.224,-0.161,-0.225,0.019,0.091,-0.081,-0.141,-0.104,-0.038,-0.085,-0.143,-0.031,-0.181,-0.136,0.037,-0.123,-0.007
5445,0.704,0.0,-0.103,0.071,0.216,0.255,0.366,0.221,-0.058,-0.069,-0.312,-0.313,0.069,-0.106,0.181,-0.112,-0.268,-0.192,-0.184,0.175,0.039,0.029,0.122,0.022,0.525,0.038,-0.02,-0.171,-0.127,-0.103,0.083,-0.059,0.131
8803,4.628,0.0,-0.03,-0.374,-0.606,-0.286,-0.375,-0.434,-0.616,-0.019,0.007,0.041,0.000,0.194,0.318,-0.513,-0.162,0.318,1.155,0.311,0.293,0.103,-0.044,-0.038,-0.915,0.082,0.204,0.082,-0.163,-0.03,0.0,0.196,0.095
2430,0.695,0.0,-0.116,0.031,-0.738,0.077,-0.021,-0.034,0.076,0.080,-0.033,0.076,0.031,0.066,0.013,0.069,0.127,-0.257,-0.052,-0.065,0.206,0.134,0.112,0.082,-0.194,0.048,0.119,0.46,-0.052,0.116,0.175,0.335,0.687
